Country Name,Score,Death Toll Avg., Death Toll Rank, Deaths per 100000 Avg., Deaths per 100000 Rank, Loss in $ Avg., Loss in $ Rank, Loss in % Avg., Loss in % Rank
Albania,122.67,1.55,130,0.05,129,16.70,126,0.092,111
Algeria,89.83,74.15,38,0.23,66,61.22,85,0.031,142
Angola,108.00,26.75,63,0.17,75,16.67,127,0.016,154
Antigua and Barbuda,54.67,0.40,151,0.54,31,39.49,101,3.198,7
Argentina,88.50,20.60,66,0.05,123,533.88,31,0.119,94
Armenia,129.33,0.40,151,0.01,163,18.35,121,0.134,89
Australia,52.17,46.95,48,0.23,65,1702.40,11,0.242,62
Austria,61.83,26.90,62,0.33,52,382.94,35,0.145,85
Azerbaijan,126.33,2.25,123,0.03,153,53.44,89,0.072,120
Bahrain,117.67,2.90,118,0.38,44,0.76,164,0.004,168
Bangladesh,19.67,816.35,7,0.56,30,1832.70,9,1.161,21
Barbados,137.50,0.05,172,0.02,157,5.82,149,0.119,95
Belarus,130.83,4.45,108,0.05,132,25.46,115,0.023,149
Belgium,71.50,86.25,31,0.82,18,93.55,76,0.030,143
Belize,42.33,2.40,121,0.88,17,58.26,87,3.262,6
Benin,130.17,4.00,112,0.05,127,4.85,151,0.048,132
Bhutan,83.67,2.30,122,0.38,45,4.77,152,0.204,69
Bolivia,53.00,33.30,59,0.37,46,122.61,67,0.352,50
Bosnia and Herzegovina,98.17,1.00,141,0.03,154,143.13,62,0.550,39
Botswana,120.50,1.50,132,0.09,102,11.09,137,0.059,125
Brazil,87.00,154.00,22,0.09,104,761.36,24,0.044,134
Brunei Darussalam,163.67,0.10,167,0.03,151,0.30,171,0.002,171
Bulgaria,87.00,7.30,91,0.09,101,142.40,63,0.156,83
Burkina Faso,95.83,6.55,95,0.05,126,36.14,106,0.255,61
Burundi,110.83,1.70,128,0.02,156,12.30,135,0.439,45
Cambodia,43.00,45.80,49,0.35,48,153.34,59,0.857,27
Cameroon,128.17,7.65,88,0.05,131,10.33,139,0.031,140
Canada,102.17,10.90,78,0.03,141,861.24,19,0.081,117
Cape Verde,140.17,0.15,162,0.03,143,1.00,163,0.082,115
Central African Republic,153.83,1.10,138,0.03,152,0.39,169,0.014,156
Chad,93.67,4.60,104,0.06,121,40.04,100,0.280,58
Chile,106.50,8.60,86,0.05,122,132.49,65,0.067,122
China,42.33,1819.85,4,0.14,83,28926.56,2,0.486,41
Chinese Taipei,53.67,75.05,37,0.34,51,858.89,21,0.162,81
Colombia,54.17,111.30,26,0.27,59,608.07,29,0.184,76
Comoros,118.00,0.95,143,0.17,80,0.49,167,0.074,119
Costa Rica,71.00,9.90,80,0.23,67,78.90,80,0.222,66
Cote d'Ivoire,145.83,4.40,109,0.02,155,4.91,150,0.016,153
Croatia,59.17,35.15,56,0.79,21,86.52,77,0.131,90
Cuba,57.00,7.60,90,0.07,113,1966.74,8,2.419,9
Cyprus,89.67,3.60,115,0.49,35,16.17,129,0.092,112
Czech Republic,71.17,9.80,81,0.09,98,586.41,30,0.258,60
Democratic Republic of Congo,142.17,17.35,69,0.03,149,1.60,158,0.009,164
Democratic Republic of Timor-Leste,170.00,0.10,167,0.01,166,0.07,175,0.001,173
Denmark,115.33,0.80,146,0.01,158,215.30,46,0.127,92
Djibouti,40.50,8.75,85,1.25,13,33.16,110,2.211,11
Dominica,53.50,0.35,153,0.49,36,50.79,90,7.290,3
Dominican Republic,31.33,212.00,19,2.43,5,182.01,53,0.321,53
Ecuador,44.33,64.30,42,0.49,37,261.68,40,0.296,55
Egypt,121.83,41.30,52,0.06,117,28.75,111,0.009,167
El Salvador,34.17,33.65,58,0.60,26,288.50,39,0.857,28
Equatorial Guinea,175.50,0.00,173,0.00,173,0.00,178,0.000,178
Eritrea,110.33,0.15,162,0.00,171,35.68,108,0.938,25
Estonia,129.33,0.45,150,0.03,145,21.75,118,0.093,109
Ethiopia,81.33,91.25,28,0.13,89,55.62,88,0.109,97
Fiji,43.50,6.75,94,0.81,19,48.19,93,1.487,18
Finland,154.17,0.20,160,0.00,169,22.03,117,0.015,155
Former Yugoslav Republic of Macedonia,92.33,1.10,138,0.05,124,72.89,82,0.457,43
France,42.67,959.05,6,1.59,10,1622.59,14,0.093,108
Gabon,169.33,0.15,162,0.01,164,0.08,174,0.000,176
Georgia,88.83,4.20,111,0.09,99,43.11,96,0.231,64
Germany,48.00,476.30,11,0.58,29,2263.60,7,0.095,106
Ghana,112.17,17.30,70,0.09,103,16.85,125,0.040,136
Greece,84.33,13.50,72,0.12,91,249.89,42,0.098,105
Grenada,36.00,2.00,125,1.96,7,97.06,75,9.065,1
